texto,etiqueta
BBVA: Detectamos un acceso no autorizado. Verifica tu cuenta: bit.ly/bbva-mx,spam
Ganaste un premio de $10000 pesos. Llama al 800-555-0199 para reclamar,spam
IMSS: Su cita medica esta programada. Confirme en: imss-citas.com,spam
Banorte: Su tarjeta fue bloqueada por seguridad. Ingrese aqui: bit.ly/bnrt,spam
Felicidades! Eres el ganador del sorteo Telcel. Responde SI para continuar,spam
SAT: Tiene un reembolso pendiente de $3420. Ingresa tus datos en: sat-mx.com,spam
Su paquete no pudo ser entregado. Reprograme en: correosmx.net/entrega,spam
STARBUCKS: Tienes 500 puntos por vencer. Canjealos: strbcks.com/mx,spam
Verificacion requerida: su cuenta Mercado Pago fue suspendida. Ingrese: bit.ly/mp-mx,spam
TELMEX: Su servicio sera suspendido. Pague ahora: telmex-pagos.com,spam
CFE: Tiene un adeudo pendiente. Evite el corte: cfe-pagos.net/verificar,spam
Netflix: Su suscripcion expiro. Actualice su pago: bit.ly/netflix-mx,spam
Hola! Soy del INFONAVIT. Tienes credito aprobado. Llama ya: 800-555-0177,spam
Amazon: Su pedido fue retenido en aduana. Pague $350 para liberarlo: amzn-mx.com,spam
BBVA: Su token expiro. Reactívelo ahora o perdera acceso: bit.ly/token-bbva,spam
Urgente: su numero sera dado de baja. Confirme identidad: telcel-mx.net,spam
Ganador! Su numero fue seleccionado. Reclame $50000 en: premios-mx.com,spam
HSBC: Movimiento sospechoso en su cuenta. Verifique: hsbc-seguro.com,spam
Scotiabank: Limite de credito aumentado. Active beneficio: bit.ly/scotia-mx,spam
OXXO Pay: Tiene un reembolso de $780. Reclame en: oxxo-reembolsos.com,spam
Su cuenta de WhatsApp sera suspendida. Verifique: bit.ly/wa-verificar,spam
Gobierno CDMX: Multa vehicular pendiente. Pague antes del viernes: cdmx-multas.com,spam
Infonavit: Su fondo de ahorro esta listo. Retirelo en: infonavit-retiro.net,spam
Soriana: Gano una tarjeta de regalo de $2000. Reclame: soriana-premios.com,spam
Coppel: Su credito fue aprobado. Active su tarjeta: coppel-activa.com,spam
Liverpool: Tiene puntos acumulados por vencer. Canjee: liverpool-puntos.mx,spam
